Epoch,Loss,Acc,F1
955,0.0845,0.9749,0.7797
960,0.0815,0.9767,0.8061
965,0.0783,0.9763,0.806
970,0.0831,0.9781,0.8065
975,0.0799,0.9781,0.8065
980,0.0764,0.9772,0.7905
985,0.0766,0.9772,0.8054
990,0.0782,0.9772,0.8065
995,0.075,0.9781,0.8081
1000,0.076,0.9781,0.7915
